2023-11-22 07:17:29: 터널 연결 상태: 정상
2023-11-22 08:21:38 - 터널 연결 상태: 정상
2023-11-22 08:51:38 - 터널 연결 상태: 정상
2023-11-22 09:21:38 - 터널 연결 상태: 정상
2023-11-22 09:51:38 - 터널 연결 상태: 정상
2023-11-22 10:21:38 - 터널 연결 상태: 정상
2023-11-22 10:51:38 - 터널 연결 상태: 정상
2023-11-22 11:21:38 - 터널 연결 상태: 정상
2023-11-22 11:51:38 - 터널 연결 상태: 정상
2023-11-22 12:21:38 - 터널 연결 상태: 정상
2023-11-22 12:51:38 - 터널 연결 상태: 정상
2023-11-22 13:21:38 - 터널 연결 상태: 정상
2023-11-22 13:51:38 - 터널 연결 상태: 정상
2023-11-22 14:21:38 - 터널 연결 상태: 정상
2023-11-22 14:51:38 - 터널 연결 상태: 정상
2023-11-22 15:21:38 - 터널 연결 상태: 정상
2023-11-22 15:51:38 - 터널 연결 상태: 정상
2023-11-22 16:21:38 - 터널 연결 상태: 정상
2023-11-22 16:51:38 - 터널 연결 상태: 정상
2023-11-22 17:21:38 - 터널 연결 상태: 정상
2023-11-22 17:51:38 - 터널 연결 상태: 정상
2023-11-22 18:21:38 - 터널 연결 상태: 정상
2023-11-22 18:51:38 - 터널 연결 상태: 정상
2023-11-22 19:21:38 - 터널 연결 상태: 정상
2023-11-22 19:51:38 - 터널 연결 상태: 정상
2023-11-22 20:21:38 - 터널 연결 상태: 정상
2023-11-22 20:51:39 - 터널 연결 상태: 정상
2023-11-22 21:21:39 - 터널 연결 상태: 정상
2023-11-22 21:51:39 - 터널 연결 상태: 정상
2023-11-22 22:21:39 - 터널 연결 상태: 정상
2023-11-22 22:51:39 - 터널 연결 상태: 정상
2023-11-22 23:21:39 - 터널 연결 상태: 정상
2023-11-22 23:51:39 - 터널 연결 상태: 정상
2023-11-23 00:21:39 - 터널 연결 상태: 정상
2023-11-23 00:51:39 - 터널 연결 상태: 정상
2023-11-23 01:21:39 - 터널 연결 상태: 정상
2023-11-23 01:51:39 - 터널 연결 상태: 정상
2023-11-23 02:21:39 - 터널 연결 상태: 정상
2023-11-23 02:51:39 - 터널 연결 상태: 정상
2023-11-23 03:21:39 - 터널 연결 상태: 정상
2023-11-23 03:51:39 - 터널 연결 상태: 정상
2023-11-23 04:21:39 - 터널 연결 상태: 정상
2023-11-23 04:51:39 - 터널 연결 상태: 정상
2023-11-23 05:21:39 - 터널 연결 상태: 정상
2023-11-23 05:51:39 - 터널 연결 상태: 정상
2023-11-23 06:21:39 - 터널 연결 상태: 정상
2023-11-23 06:51:39 - 터널 연결 상태: 정상
2023-11-23 07:21:39 - 터널 연결 상태: 정상
2023-11-23 07:51:39 - 터널 연결 상태: 정상
2023-11-23 08:21:39 - 터널 연결 상태: 정상
2023-11-23 08:51:39 - 터널 연결 상태: 정상
2023-11-23 09:21:39 - 터널 연결 상태: 정상
2023-11-23 09:51:39 - 터널 연결 상태: 정상
2023-11-23 10:21:39 - 터널 연결 상태: 정상
2023-11-23 10:51:39 - 터널 연결 상태: 정상
2023-11-23 11:21:39 - 터널 연결 상태: 정상
2023-11-23 11:51:39 - 터널 연결 상태: 정상
2023-11-23 12:21:39 - 터널 연결 상태: 정상
